norm_name,college_teams,club_teams,review
josh hall,cal poly-slo-b (slob); cal poly-slo-c (sloc),bay dog,
josh hein,iso atmo; texas a&m-b (dozen matter); texas a&m-c (dozen exist),carbon; iso atmo,
josh inniss,east carolina (irates),adelphos,
josh jiang,chicago (junk),ditto a; greater gary goblins y,
josh kautz,minnesota (grey duck),mallard; mallard x; sub zero,
josh kenniv,cedarville (swarm),enigma; swarm,
josh khoury,lamar (lu dark matter),firefly tx; gamble; papa bear; premium,
josh kneisel,toledo (savage),mischief,
josh kreth,new mexico (hanta virus),(washed); swangos; texas swing; texas toast,
josh kripas,messiah (falcons),bear proof,
josh kryzer,nebraska (cornfed ultimate),mallard ii; scythe,
josh kuse,wisconsin-whitewater (sub*par),milwaukee revival,
josh lane,tulane (rex); tulane (tucks),buda; citywide special; oak grove boys; phantom,
josh leister,north greenville (ninja geese),carolina summer; firefall; fresno firefall; ravin’-d,
josh lickteig,nebraska (cornfed ultimate),scythe,
josh lillie,colorado college (wasabi),cognitive disconance; colorado college (wasabi); cosmic u-20 boys,
josh lopez,wisconsin-milwaukee (black cat); wisconsin-milwaukee-b (blackout),milwaukee revival,
josh lowe,missouri state (missouri state ultimate),lounar; stl moonar,
josh manning,kansas state (wizards),kc smokestack; oat; prairie fire,
josh matushak,davidson (duff),john doe,
josh mcginnis,franklin & marshall (deep blue),adelphos; bomb squad,
josh musica,dickinson (dumptrucks); dickinson (junkyard turkeys),red tide,
josh pogue,pittsburgh-b (en sabah nur-b); pittsburgh-b (university of pittsburgh- b),puppies,
josh poland,elon (big fat bomb),the semple temple,
josh rechenberg,penn state-b (lovetap),happy valley roofing and mustache supply,
josh rosenberg,virginia (night train),john doe,
josh rotker,washington university (contra),castle,
josh rudolph,idaho (red scare),ghost train; seattle blacklist,
josh rudy,delaware (sideshow),delaware (sideshow),
josh shamburger,cedarville (swarm),chimney,
josh sherer,nebraska (cornfed ultimate),scythe,
josh singleton,north carolina (darkside),cash crop 2; ring of fire,
josh spacagna,xavier (b.l.o.b.),rotisserie chicken,
josh strauss,elon (big fat bomb); pennsylvania (void),adelphos; the semple temple,
josh tait,arizona state (prime),tempe tantrum,
josh van cleave,alabama (yellow hammer),black market i; trident; trident ii,
josh venter,texas state (buckets); texas state -b (texas state ),dallas united: neato banditos; riverside; riverside messengers-b,
josh warner,embry-riddle (dirty birds),power point ultimate; savannah wild,
josh white,bowdoin (clown); tufts-b (tufts b),resurgam ultimate,
josh yira,wisconsin-eau claire (eauzone),imperial; mallard,
josh zielke,berry (bucks),romulus,
joshawa ryun,missouri state (missouri state),castle; mad-at-door,
joshua (slater) levey,cal poly-slo (slocore),black knights; magma bears,
joshua adams,nebraska (cornfed ultimate),scythe,
joshua agopian,cal poly-pomona (cow ultimate),gridlock; oc crows,
joshua alger,george mason (massacre),music city mafia; winc city fog; winc city fog of war,
joshua alley,james madison (hellfish),oakgrove boys,
joshua anderson,bethel (bethel ultimate),l.u.t $ack; ufo,
joshua antonio velayo,colorado cutthroat u-20 boys,colorado cutthroat u-20 boys two,
joshua audibert,worcester polytech (bullets),ender's outcasts,
joshua bertie,suny-buffalo (green eggs and ham),bodega cats; dap lab,
joshua bolt,rhode island (riut),nain rouge,
joshua bransford,george mason (massacre),vault; watchdogs,
joshua camp,colorado-b (cucu); colorado-c (rooster tussle); cutthroat spring 2020 (cutthroat clinic roster),carbon,
joshua chilmaid,georgetown (justice),la maquina -a,
joshua christensen,utah state (usult),cojones; old ephraim,
joshua cohen,gunn (control),firemen; green river swordfish; red dawn,
joshua connelly,auburn (aetos),bash bros; turbine,
joshua crane,colorado (mamabird),johnny bravo,
joshua cummings,akron (goon squad); akron (goonsquad),chimney; pipeline,
joshua curtis,texas (tuff); texas-b (graze); texas-b (texas b),oakay; quaze,
joshua datz,georgetown (justice),john doe,
joshua dinicola,suny-buffalo (green eggs and ham); suny-buffalo-b (buffalo grinch),dap lab,
joshua duer,michigan tech (discotech),zoo animals,
joshua duke,liberty (flames),l.u.t $ack,
joshua duncan,indiana (hoosiermama?s),los beeros,
joshua edwards,suny-cortland (team rocket),ope; ufo,
joshua ellison,north florida (category 5),psychedelic,
joshua fambro,north texas (unt),sprawl,
joshua fieseher,temple (alert); temple-b (false alarm),jawn,
joshua fok,simon fraser (sfu red leafs),blackfish,
joshua freedman,pennsylvania (void); pennsylvania-b (null),adelphos,
joshua freshly,penn state-b (lovetap),happy valley roofing and mustache supply; impulse,
joshua gabella,washington university (contra),blueprint; castle; lounar; mallard; stl lounar,
joshua gammon,trinity (turbulence); trinity university (turbulence),alamode; san antonio warhawks,
joshua geddes,delaware (sideshow),delaware (sideshow),
joshua gill,oklahoma christian (eagles); western new england (golden bears),barnstorm; odyssey,
joshua glick,maine (blackfly); maine (nor'easter),alibi; maine (nor'easter),
joshua golden,armstrong state (pirate ultimate),coastal empire,
joshua guarriello,edinboro (haggis),buffalo frostbite,
joshua hardie,reaper alum,black penguins club; satellite,
joshua heacock,temple (alert),jawn,
joshua hester,north carolina state-b (sixpack),hydra; nc brickhouse-upper,
joshua ho,wisconsin (hodags),colorado cutthroat u-20 boys; colorado cutthroat: youth club u-20 boys; dangerous unidentified mystical beast; mad men; red lotus,
joshua huddleston,virginia (night train),hb woodlawn; hb woodlawn flatball,
joshua hunt,alabama-b (alabama b ); alabama-b (yellow hammer),nox; war machine,
joshua james,texas-dallas (woof),f-words,
joshua jang,british columbia (thunderbirds),blackfish,
joshua jordan,saint louis (archangel),rougaroux; s l u r p,
joshua kalahar,kettering (bulldogs),kettering (bulldogs),
joshua keith-hardy,colby (cdc (men's)); colby (dazzlin' asses (men)),red tide,
joshua kent,western washington (dirt),ham,
joshua kolby,alabama-huntsville (nightmares),ronin; second nature,
joshua kozlowski,michigan tech (discotech),timber; zoo animals,
joshua krause,north carolina (darkside); north carolina-b (batch),brickhouse; carolina sky; john doe,
joshua krone,san jose state (spartans),anchor,
joshua kugel,st olaf (berzerkers); st. olaf (berzerkers),overdrive; the body,
joshua kuhn,north dakota state (windbreak ultimate club),fargoats; the body,
joshua lench,george washington (g-dub hippos); george washington (george washington men’s club ultimate),resurgam; resurgam ultimate,
joshua lewis,alabama (yellow hammer); alabama-c (yellowhammer c),oakay; triumph,
joshua lich,east carolina (irates),parlay,
joshua lightner,foggy bottom boys; george mason (meteors),hb woodlawn; hb woodlawn flatball; puzzles; vault,
joshua logan,jacksonville state (firebird ),alliance; alliance 2,
joshua ludtke,depaul (duc),ditto a; ditto b; roundhouse,
joshua lyder,youngstown state (aperture ultimate ),ak pipeline; chimney; forest city; lake effect; pipeline,
joshua manuel,emory (emory juice),hydra; yee-haw,
joshua mitchell,mississippi state (dark horse); mississippi state -b (trenches ); mississippi state-b (pony express); mississippi state-b (trenches ),cookie mon$terz; sprawl,
